block,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,environmental,environmental,environmental,environmental,environmental,environmental,environmental,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,pollution,pollution,pollution,pollution,pollution,pollution,pollution,pollution
A58,0.131591365,3.659388883,9858,2.099,29.01,48010,0.4525,5.981,18.76,27.51,15570,1.552119285,0.0,0.9539,2155.0,32070,295.7,202.0,18.07,3.665897031,1.435585583,14.68,3.593555258,15.4,25.34,57.89,0.0,1.816253118,0.331658553,5.576248654,9.94,42.42,-82.74,2.2,3.67,6.2,16.94,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.25507312,3.87570589,3.8285856,3.2e-16,3.2e-16,3.2e-16,3.2e-16,4.008481477,5.69886844,3.2e-16,1.937415463,0.557481764,3.8e-09,3.8e-09,3.8e-09,3.8e-09,0.318991891,0.418191051,0.415641123,3.8e-09,3.8e-09,3.8e-09,3.8e-09,0.425294013,0.50710004,3.8e-09,0.295672348,0.158604192,-0.379688862,2.017149028,1.312290723,0.307636125,0.741003481,1.079887149,0.358863138,1.034934221,1.060443629,1.000056178,1.055141946,-0.14666073,-0.318234281,1.4997922,1.343398587,2.065525895,1.428769677,1.491112093,1.083139049,1.165345667,0.652965068,1.187491044,2.049762761,0.311413792,1.15035796,0.728449048,-0.593025552,0.863267497,-0.1256307,0.205699228,8.85442845635076e-05,medium,3.0019958599585754,medium,90.0,66.0,medium,66.0
A6,0.151561159,0.214879823,12420,5.494,0.1289,38480,0.3965,6.702,19.25,33.19,18380,0.981242726,0.0,0.06307,1984.0,18950,401.1,167.3,17.87,4.904176904,0.0,9.353,0.313651818,0.0,32.25,78.52,0.0,1.577833538,0.618624455,4.529056512,9.25,42.97,-82.42,1.73,4.9,1.5,20.15,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.718047158,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.475316518,6.505562152,3.2e-16,3.2e-16,3.2e-16,5.23e-09,5.23e-09,5.23e-09,5.23e-09,0.482009391,5.23e-09,5.23e-09,5.23e-09,5.23e-09,5.23e-09,5.23e-09,0.45998363,0.745709063,5.23e-09,5.23e-09,5.23e-09,-0.289458093,-0.558281797,1.684806608,1.695604609,-1.940228159,0.63166821,0.173718601,1.339665734,1.10255104,1.204664841,1.388362203,-0.368258551,-0.318234281,-0.574558028,1.227061506,0.882665582,2.148275621,0.942643292,1.063449007,1.768288429,-0.687740036,0.675534049,-0.431477528,-1.917416857,1.720086779,1.216809894,-0.593025552,0.71153255,0.464707334,0.04030194,-13.709642162966308,reference,1.309744513731095,medium,94.0,78.0,medium,78.0
A66,0.0,0.0,6261,2.104,18.12,15640,0.09205,5.084,12.3,12.74,9834,0.173248825,0.0,0.03719,1287.0,8682,162.1,102.9,11.11,1.838213633,0.331535467,4.095,0.349762838,9.82,19.04,28.83,0.0,0.366567895,0.147877282,1.024807774,10.38,42.63,-82.78,1.44,1.84,2.7,20.67,3.2e-16,1.960720012,3.2e-16,3.2e-16,5.648855221,4.464301023,1.616412139,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.448551514,3.871485259,0.498989278,0.869039322,3.2e-16,3.78e-09,0.296001371,3.78e-09,3.78e-09,0.502419115,0.446645197,0.268758361,3.78e-09,3.78e-09,3.78e-09,3.78e-09,0.392558415,0.415934301,0.149324662,0.197063252,3.78e-09,-1.017336824,-0.931202903,0.580357374,0.310660698,0.372533328,-1.192012029,-0.984284948,0.608537079,0.379893639,0.177983389,0.13232368,-0.826811996,-0.318234281,-0.658551576,0.618135161,-0.872168272,0.012481892,-0.468537921,0.23509779,-0.108025412,-0.256496147,-0.198900004,-0.377727784,-0.019957015,0.481847867,-0.377513943,-0.593025552,-0.377098556,-0.574879519,-0.917617901,-1.4242451692340339,medium,3.86226289851298,degraded,64.0,21.0,medium,21.0
DBC2,0.205124418,4.570087946,6158,2.28,23.45,45630,0.6177,5.102,12.22,24.11,11040,12.72139285,0.0,1.22,1314.0,23100,207.6,199.8,14.79,2.54,8.648632272,8.798,2.661558167,14.53,17.49,51.17,0.0,3.071919709,0.0,12.67048329,7.3,42.51,-82.58,2.06,2.54,4.5,22.54,1.29235498,3.2e-16,3.181823585,0.870390249,4.117371535,3.2e-16,3.2e-16,3.678211911,3.2e-16,3.2e-16,3.2e-16,3.307820697,5.704283159,3.2e-16,3.2e-16,1.29235498,0.234784485,3.7e-09,0.368397379,0.192679492,0.419071872,3.7e-09,3.7e-09,0.396092717,3.7e-09,3.7e-09,3.7e-09,0.375620653,0.493263547,3.7e-09,3.7e-09,0.234784485,-0.054956898,2.359188441,0.553612152,0.414133355,0.573522538,0.976894498,0.866113558,0.617696312,0.369522486,0.857039681,0.364639996,1.325436028,-0.318234281,1.934928186,0.647342058,1.327887148,0.59488361,1.459230583,0.730652159,0.457958805,2.726296883,0.607581329,1.600297825,0.267982898,0.284980996,0.531431881,-0.593025552,1.495723369,-0.992073942,0.903510822,1.309744513731095,medium,-14.367915845792524,medium,95.0,80.0,medium,80.0
DCC2,0.0,0.408861939,8272,0.0001,21.51,12980,0.2797,5.551,15.74,12.36,10620,0.482682488,0.0,0.288,1536.0,8481,99.25,166.4,15.17,6.9,0.0,7.868,0.0,13.86,18.39,42.57,0.0,0.0,0.0,3.675157278,8.68,42.5,-82.53,1.65,6.9,1.0,26.62,0.701597672,3.318611207,2.775158341,3.2e-16,5.17285026,1.72091361,3.801534553,3.2e-16,3.2e-16,3.2e-16,3.2e-16,1.809504669,4.97637129,0.701597672,3.2e-16,0.701597672,0.165290839,0.359486762,0.328737008,3.53e-09,0.448817382,0.258871505,0.384754923,3.53e-09,3.53e-09,3.53e-09,3.53e-09,0.265451124,0.440211215,0.165290839,3.53e-09,0.165290839,-1.017336824,-0.274465624,1.029461465,-1.814242204,0.505949509,-1.569621709,-0.237582275,0.837828068,0.775330405,0.146397455,0.286746529,-0.621950909,-0.318234281,0.079543063,0.866957641,-0.924827074,-1.139507732,0.926955188,0.775064867,2.514225241,-0.687740036,0.48458503,-0.972207638,0.232844222,0.401211411,0.238518761,-0.593025552,-0.912801333,-0.992073942,-0.119666668,0.9527530244628681,medium,4.982962025334656,medium,80.0,43.0,medium,43.0
DCE3,0.0,1.030030857,18180,2.156,38.56,47560,0.5823,9.169,25.96,28.83,21970,9.116319036,0.0,0.2807,3836.0,19450,420.4,249.9,27.9,5.31,1.222390925,7.091,0.857339251,25.72,35.11,75.6,0.0,0.83866617,0.627908013,8.063019808,6.91,42.49,-82.44,1.82,5.31,3.3,22.68,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.892813736,3.2e-16,3.2e-16,2.007029757,3.2e-16,3.2e-16,3.2e-16,5.538249245,5.272598711,3.2e-16,3.2e-16,3.2e-16,4.38e-09,4.38e-09,4.38e-09,4.38e-09,0.482652546,4.38e-09,4.38e-09,0.346561006,4.38e-09,4.38e-09,4.38e-09,0.575690468,0.561713872,4.38e-09,4.38e-09,4.38e-09,-1.017336824,0.425353608,2.299187162,0.341830551,0.966834857,1.060810966,0.761922516,2.201154292,1.594531839,1.051028285,1.746685486,1.058672783,-0.318234281,0.060172449,2.154922766,0.941217291,2.259242566,2.110943493,1.859540403,1.938570556,0.515001483,0.371494679,0.25498054,0.700349059,1.921881023,1.155977267,-0.593025552,0.131906051,0.48200768,0.511551126,0.3096879416464251,medium,-16.921009588036508,medium,95.0,81.0,degraded,81.0
DJC2,0.0,7.420847054,5411,1.815,19.75,40660,0.5389,4.612,11.84,15.47,9552,43.44580779,0.0,1.178,1113.0,19790,193.7,160.2,13.16,2.06,17.83616087,6.438,5.25335709,12.98,15.59,44.99,0.0,0.0,0.0,18.49763565,7.25,42.49,-82.51,2.13,2.06,10.0,22.77,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.347923303,3.2e-16,3.2e-16,1.807354922,3.2e-16,3.2e-16,3.2e-16,1.373458396,6.482349624,3.2e-16,1.710493383,1.095157233,4.65e-09,4.65e-09,4.65e-09,4.65e-09,0.398075702,4.65e-09,4.65e-09,0.349257257,4.65e-09,4.65e-09,4.65e-09,0.30446086,0.661439218,4.65e-09,0.339769519,0.271870417,-1.017336824,3.151030047,0.345110392,0.127306559,0.439404049,0.743294314,0.630957438,0.358163763,0.319386534,0.382086333,0.073892779,2.354058936,-0.318234281,1.869834329,0.41381187,0.980178958,0.431661488,0.816533622,0.52716825,0.084707457,3.733816603,0.267711617,2.661160097,0.184204266,0.019810785,0.326414662,-0.593025552,-0.912801333,-0.992073942,1.242086338,2.817662594074301,medium,-12.735724945182852,medium,99.0,96.0,degraded,96.0
GL1,0.0,0.0,2421,0.0001,18.26,31440,0.2043,2.296,4.908,2.861,4482,0.292410486,0.0,0.04875,437.2,9762,114.5,140.7,4.675,1.07,0.0,2.414,0.0,21.63,7.873,16.07,0.0,0.653454357,0.649640681,0.609753514,8.04,42.51,-82.52,1.61,1.07,0.4,26.89,1.330645312,3.713829095,2.010888316,3.2e-16,5.036423408,3.2e-16,3.100264123,4.896653487,3.2e-16,3.2e-16,3.2e-16,2.010888316,3.334984248,2.010888316,3.2e-16,3.2e-16,0.220189122,0.367854153,0.270681567,3.42e-09,0.428376683,3.42e-09,0.336096549,0.422390744,3.42e-09,3.42e-09,3.42e-09,0.270681567,0.348587332,0.270681567,3.42e-09,3.42e-09,-1.017336824,-0.931202903,-0.951457245,-1.814242204,0.378496502,0.222370577,-0.523547072,-1.291860572,-1.015011354,-1.251615968,-1.445642671,-0.742152822,-0.318234281,-0.620777556,-0.899745702,-0.608585258,-0.804338402,0.439296327,-1.180457429,-0.916524878,-0.687740036,-0.692684689,-0.972207638,0.567974544,-1.510579329,-1.285157379,-0.593025552,-0.05021734,0.522124745,-1.136365036,5.942618456577508,degraded,2.743908139991923,reference,77.0,36.0,medium,36.0
MCE2,0.0,7.722285301,7544,3.101,24.86,49190,0.6976,5.984,14.2,20.37,12260,26.27437641,0.0,0.6435,1710.0,21710,239.3,219.8,16.65,4.23,8.716411429,8.988,3.944138406,15.83,21.23,56.56,0.0,3.179660085,0.0,24.74287448,7.37,42.59,-82.44,1.87,4.23,3.0,22.4,3.2e-16,3.2e-16,3.2e-16,0.919049109,4.455189901,3.2e-16,3.2e-16,1.587102998,3.2e-16,3.2e-16,3.2e-16,3.574481854,6.049981918,3.2e-16,3.2e-16,3.2e-16,4.39e-09,4.39e-09,4.39e-09,0.23539708,0.518280444,4.39e-09,4.39e-09,0.309338709,4.39e-09,4.39e-09,4.39e-09,0.464235407,0.603960798,4.39e-09,4.39e-09,4.39e-09,-1.017336824,3.21841397,0.880921844,0.833239927,0.619350552,1.129072362,1.09313529,1.036266293,0.60943591,0.675406007,0.575143723,1.926683798,-0.318234281,0.910206442,1.017941127,1.188360009,0.929736091,1.737031527,0.938624273,1.457700925,2.736839814,0.631268302,2.195540832,0.33203591,0.73548125,0.691304708,-0.593025552,1.540519924,-0.992073942,1.507054811,0.8485030478572397,medium,-14.827890458167797,medium,97.0,88.0,degraded,88.0
S1,0.0,0.0,1501,2.096,25.8,43640,0.4436,2.096,3.674,0.0,5352,0.44364315,0.0,0.01828,319.8,10920,140.6,85.36,3.578,0.413421431,0.527392533,1.671,0.231488381,32.71,10.03,14.01,0.0,0.215673676,0.578356427,0.275905397,10.03,43.01,-82.41,1.43,0.41,4.6,20.77,3.2e-16,3.2e-16,3.2e-16,3.2e-16,5.672425342,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.584962501,5.523561956,3.2e-16,3.2e-16,3.2e-16,4.82e-09,4.82e-09,4.82e-09,4.82e-09,0.641571139,4.82e-09,4.82e-09,4.82e-09,4.82e-09,4.82e-09,4.82e-09,0.433099366,0.633096685,4.82e-09,4.82e-09,4.82e-09,-1.017336824,-0.931202903,-1.721949331,0.305819038,0.648534606,0.88656779,0.32992056,-1.485941334,-1.417762693,-2.773048115,-1.089410595,-0.645303639,-0.318234281,-0.721259925,-1.338788152,-0.35656975,-0.322104846,-1.00953538,-1.581629879,-1.893855145,-0.049816013,-0.995376908,-0.559494232,0.885507599,-0.978414547,-1.49427589,-0.593025552,-0.57779947,0.38849905,-1.358002811,8.32784022022121,degraded,-1.5036068328641532,medium,83.0,49.0,medium,49.0
S10,0.215799813,0.554585861,2726,1.377,22.45,17590,0.435,2.803,5.492,6.678,6158,0.685745743,1.841626262,0.05103,490.3,8300,87.13,72.49,5.456,1.086935611,0.224356532,4.83,0.172998643,34.47,11.38,31.73,1.269485323,0.43844962,1.274392275,7.644197703,10.12,42.91,-82.46,1.54,1.09,1.5,19.12,1.350716518,3.2e-16,3.2e-16,3.2e-16,5.350259666,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,0.331588206,1.196600538,5.78825675,1.024030069,0.331588206,1.350716518,0.284194185,4.38e-09,4.38e-09,4.38e-09,0.565614472,4.38e-09,4.38e-09,4.38e-09,4.38e-09,4.38e-09,0.140809715,0.267490079,0.58831101,0.247451128,0.140809715,0.284194185,-0.009467471,-0.085889225,-0.760189714,-0.189992375,0.539389095,-0.954008309,0.301783559,-0.848253683,-0.852971492,-0.47741937,-0.80770773,-0.509615871,6.372032385,-0.613376496,-0.738718781,-0.973325171,-1.444499791,-1.481691036,-0.939652432,-0.895652756,-0.382883495,-0.032703063,-0.655941903,0.926058149,-0.696043618,-0.226653898,2.665223607,-0.28916461,1.493627668,0.466432988,4.977614405031903,medium,8.619147139841871,reference,100.0,97.0,degraded,97.0
S100,0.159587324,0.41679582,2736,1.238,0.04606,12150,0.322,5.077,19.0,19.39,13880,9.472792576,0.0,0.1745,371.8,7046,141.5,92.19,15.04,2.092008527,0.439875353,11.77,0.56528463,0.04967,10.44,83.36,0.274494542,5.951278726,1.285332221,61.30216037,9.12,42.07,-83.18,1.54,2.09,2.8,19.35,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.225220681,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,4.820319255,6.021391865,3.2e-16,0.525628361,3.2e-16,4.69e-09,4.69e-09,4.69e-09,4.69e-09,0.470125677,4.69e-09,4.69e-09,4.69e-09,4.69e-09,4.69e-09,4.69e-09,0.574740968,0.642366227,4.69e-09,0.189790141,4.69e-09,-0.253633036,-0.263706655,-0.754287086,-0.303042284,-2.00252291,-1.703470801,-0.084445038,0.604967834,1.08119656,0.622537593,0.824390136,1.088981335,-0.318234281,-0.234840751,-1.127297991,-1.341550638,-0.307108236,-0.786833887,0.759989602,0.111363109,-0.138683816,0.934309062,-0.084106465,-1.878792064,-0.889159147,1.312884218,0.371264934,2.413102698,1.508143312,2.34987256,-14.367915845792524,reference,0.3096879416464251,degraded,96.0,82.0,degraded,82.0
